COUNTY_MUNI_CODE,Latitude,Longitude
US20093,38.00067106201268,-101.3198675225354
US20095,37.55908838391183,-98.13633129393268
US20097,37.55847091351437,-99.28604845538013
US20099,37.19157245692513,-95.29757554489112
US20101,38.48163511108817,-100.4664014214976
US20103,39.19965938251278,-95.0379002822576
US20105,39.04554314180176,-98.2077000108696
US20107,38.21248381494839,-94.8429287723635
US20109,38.91766797964405,-101.1483895546704
US20111,38.4567427285897,-96.152635883211
US20113,38.3919941425184,-97.64808064025353
US20115,38.35928246654693,-97.09694318344424
US20117,39.78396872679333,-96.52293712785486
US20119,37.23856843775594,-100.3661882787976
US20121,38.56379484253571,-94.83805520191495
US20123,39.39348261254356,-98.2093641238572
US20125,37.19277017386257,-95.74287790159538
US20127,38.68762771384908,-96.64986513618854
US20129,37.19165383554614,-101.7992520755506
US20131,39.78379061749475,-96.01410154527824
US20133,37.55868954575946,-95.30679222953027
US20135,38.47974681727884,-99.91618183227872
US20137,39.78472849487571,-99.90347549800734
US20139,38.65266046995642,-95.7269409272568
US20141,39.35067190370393,-98.76798811505004
US20143,39.13275308655361,-97.65021619661276
US20145,38.18151697560846,-99.2367966527738
US20147,39.78492580125752,-99.34702142414967
US20149,39.37924320472933,-96.3423750818495
US20151,37.64794641815453,-98.73959601057756
US20153,39.78558399182162,-101.0757043548031
US20155,37.95328061831801,-98.0860074642264
US20157,39.82801699843877,-97.65062290071212
US20159,38.34735492176074,-98.20103224322746
US20161,39.29704689369599,-96.7353576741234
US20163,39.35056702687628,-99.32505410931938
US20165,38.52337082100566,-99.30924128430073
US20167,38.91511445706664,-98.76234956517108
US20169,38.78401941464534,-97.64993227842596
US20171,38.48249738288839,-100.9068605794934
US20173,37.68507686230706,-97.460931248327
US20175,37.19355346083803,-100.8512873868574
US20177,39.04173200474417,-95.75658546075644
US20179,39.35069556286856,-100.4418318866521
US20181,39.35177143572069,-101.7199798802677
US20183,39.78549933636443,-98.78547300995687
US20185,38.03132720935529,-98.71740514551196
US20187,37.56326529429229,-101.784184385732
US20189,37.19257178400588,-101.3120470094395
US20191,37.23765266908818,-97.47655186350867
US20193,39.35130588482026,-101.0555314117602
US20195,38.91465894188394,-99.87273272267738
US20197,38.95360215776962,-96.20501114096533
US20199,38.91699472482777,-101.763571571497
US20201,39.78454563588782,-97.08754407823854
US20203,38.48241583798832,-101.3473554704919
US20205,37.55944508157666,-95.74338956160484
US20207,37.88682856515159,-95.74016691771386
US20209,39.11468466759636,-94.76448383553512
US29001,40.19073542804657,-92.60071872362788
US29003,39.98367717583364,-94.80208681650998
US29005,40.43103296695978,-95.42813798245317
US29007,39.21588184166788,-91.84161680987393
US29009,36.7101975353428,-93.82907786513312
US29011,37.50244346189309,-94.34711788479146
US29013,38.25758920951713,-94.34001839034184
US29015,38.29520705010808,-93.28794582117447
US29017,37.32265189058113,-90.02590312330547
US29019,38.99110117067645,-92.3096819633544
US29021,39.65988508147871,-94.80589340950009
US29023,36.71667195741075,-90.40659698991904
US29025,39.65587402167627,-93.98279985781755
US29027,38.83588524579505,-91.9259355565649
US29029,38.02724141664235,-92.76615186704385
US29031,37.384319881758,-89.6844136552298
US29033,39.42722162285715,-93.50516168271324
US29035,36.94138129545463,-90.96234118354808
US29037,38.64722798579275,-94.35484640998108
US29039,37.72400525448834,-93.85664119661324
US29041,39.51537372038972,-92.96267667114448
US29043,36.96971100172292,-93.18892561623998
US29045,40.41056689239705,-91.73844718237984
US29047,39.31068157067625,-94.42084445370408
US29049,39.60193364897618,-94.40459394360975
US29051,38.50557657770752,-92.2816235003713
US29053,38.84370669188949,-92.810120194582
US29055,37.97675224104837,-91.30398965156576
US29057,37.43218430540971,-93.85028968296916
US29059,37.68074131964556,-93.0236436676542
US29061,39.96096762183817,-93.98547313951146
US29063,39.89333093386271,-94.40471077136166
US29065,37.60685251035745,-91.50790977023745
US29067,36.93271058082501,-92.4988164108158
US29069,36.27291320749018,-90.09082958032454
US29071,38.41145110043529,-91.07502368902756
US29073,38.44132636915909,-91.50791530323528
US29075,40.21233052442512,-94.40991549103836
US29077,37.25822701909642,-93.3420043042547
US29079,40.11409381054805,-93.565336636477
US29081,40.3550290203052,-93.9920706302457
US29083,38.38537952939361,-93.79275190281952
US29085,37.9408972483745,-93.32068907629828
US29087,40.09467528717894,-95.21560386848132
US29089,39.14267525986837,-92.6962381710591
US29091,36.77453426630741,-91.88652793881889
US29093,37.55550640625349,-90.77366812567028
US29095,39.00868913085495,-94.34607576628964
US29097,37.20369780031753,-94.34061575070776
US29099,38.26133914060367,-90.53773878723332
US29101,38.74431458176937,-93.80635763816676
US29103,40.12848077157649,-92.14807441435596
US29105,37.65857477715323,-92.59042958687482
US29107,39.06570798439725,-93.78544226359716
US29109,37.1065635626501,-93.8329373827382
US29111,40.09707496966598,-91.7221582351912
US29113,39.05820480809557,-90.96005103481576
US29115,39.87041291915296,-93.1071723812325
US29117,39.78233410902798,-93.54829930920803
US29119,36.62879074034299,-94.34835264599523
US29121,39.83110790846479,-92.56465134896808
US29123,37.47827259698507,-90.34502506354212
US29125,38.16175097275359,-91.92487345340624
US29127,39.80609910364754,-91.62235718883254
US29129,40.42251519350972,-93.56856166584495
US29131,38.21476409259422,-92.42847575056086
US29133,36.82835415292847,-89.29118376159313
US29135,38.63299730249712,-92.58299718665508
US29137,39.4956402247517,-92.00072102664176
US29139,38.94181120712874,-91.47016011209246
US29141,38.42408485796617,-92.8860321388595
US29143,36.59496253632994,-89.65172575550925
US29145,36.90565264324802,-94.33925294112258
US29147,40.36112768393892,-94.8834879323342
US29149,36.68693804759632,-91.40330152430944
US29151,38.46061940553346,-91.86175601956924
